ID	Elements	Generation	Position	Velocity	F_damp	F_b_best	F_h_best	F_g_best	F_b_worst	F_h_worst	F_g_worst	mut_prob	flip_prob	mut_rate	v_max	Activity	Distance	v_min
0	['Ag', 'Ir', 'Pd', 'Pt', 'Ru']	11	[0.086 0.108 0.687 0.027 0.092]	[ 0.04   0.134 -0.141 -0.006 -0.027]	0.67	1.95	1.4	0.12	0.07	0.31	0.04	0.32	0.17	0.43	0.2	0.11886607414062345	0.159	0.071
1	['Ag', 'Ir', 'Pd', 'Pt', 'Ru']	11	[0.152 0.588 0.019 0.134 0.107]	[ 0.088 -0.092 -0.122  0.04   0.086]	0.67	1.95	1.4	0.12	0.07	0.31	0.04	0.32	0.17	0.43	0.2	0.014041656226566253	0.988	0.071
2	['Ag', 'Ir', 'Pd', 'Pt', 'Ru']	11	[0.095 0.128 0.703 0.01  0.064]	[-0.034  0.143 -0.134  0.003  0.022]	0.67	1.95	1.4	0.12	0.07	0.31	0.04	0.32	0.17	0.43	0.2	0.12223178506446314	0.165	0.071
3	['Ag', 'Ir', 'Pd', 'Pt', 'Ru']	11	[0.105 0.051 0.738 0.009 0.097]	[ 0.019  0.085 -0.163  0.075 -0.017]	0.67	1.95	1.4	0.12	0.07	0.31	0.04	0.32	0.17	0.43	0.2	0.1384250580040165	0.081	0.071
4	['Ag', 'Ir', 'Pd', 'Pt', 'Ru']	11	[0.124 0.144 0.679 0.015 0.038]	[-0.     0.145 -0.134 -0.025  0.014]	0.67	1.95	1.4	0.12	0.07	0.31	0.04	0.32	0.17	0.43	0.2	0.11873725620500344	0.2	0.071
0	['Ag', 'Ir', 'Pd', 'Pt', 'Ru']	12	[0.056 0.031 0.752 0.052 0.109]	[-0.032  0.134 -0.141  0.024  0.016]	0.67	1.95	1.4	0.12	0.07	0.31	0.04	0.32	0.17	0.43	0.2	0.13685189742989706	0.089	0.071
1	['Ag', 'Ir', 'Pd', 'Pt', 'Ru']	12	[0.17  0.457 0.12  0.117 0.136]	[ 0.028 -0.161  0.106 -0.016  0.042]	0.67	1.95	1.4	0.12	0.07	0.31	0.04	0.32	0.17	0.43	0.2	0.015155340894183342	0.831	0.071
2	['Ag', 'Ir', 'Pd', 'Pt', 'Ru']	12	[0.06  0.03  0.782 0.005 0.123]	[-0.046  0.138 -0.127 -0.015  0.051]	0.67	1.95	1.4	0.12	0.07	0.31	0.04	0.32	0.17	0.43	0.2	0.1524696917776935	0.058	0.071
3	['Ag', 'Ir', 'Pd', 'Pt', 'Ru']	12	[0.068 0.092 0.676 0.035 0.129]	[-0.041  0.12  -0.147  0.038  0.03 ]	0.67	1.95	1.4	0.12	0.07	0.31	0.04	0.32	0.17	0.43	0.2	0.11620431870939907	0.164	0.071
4	['Ag', 'Ir', 'Pd', 'Pt', 'Ru']	12	[0.096 0.016 0.783 0.026 0.079]	[ 0.023 -0.103 -0.105  0.073  0.111]	0.67	1.95	1.4	0.12	0.07	0.31	0.04	0.32	0.17	0.43	0.2	0.1499587206072315	0.041	0.071
0	['Ag', 'Ir', 'Pd', 'Pt', 'Ru']	13	[0.106 0.039 0.655 0.058 0.142]	[ 0.114  0.045 -0.157 -0.014  0.013]	0.67	1.95	1.4	0.12	0.07	0.31	0.04	0.32	0.17	0.43	0.2	0.12147305785803222	0.166	0.071
1	['Ag', 'Ir', 'Pd', 'Pt', 'Ru']	13	[0.238 0.36  0.002 0.169 0.231]	[ 0.068 -0.098 -0.118  0.052  0.095]	0.67	1.95	1.4	0.12	0.07	0.31	0.04	0.32	0.17	0.43	0.2	0.012644167873528319	0.912	0.071
2	['Ag', 'Ir', 'Pd', 'Pt', 'Ru']	13	[0.024 0.106 0.612 0.08  0.178]	[ 0.049  0.074 -0.174  0.031  0.02 ]	0.67	1.95	1.4	0.12	0.07	0.31	0.04	0.32	0.17	0.43	0.2	0.08915342632724638	0.255	0.071
3	['Ag', 'Ir', 'Pd', 'Pt', 'Ru']	13	[0.058 0.027 0.753 0.021 0.141]	[-0.014  0.112 -0.157  0.051  0.008]	0.67	1.95	1.4	0.12	0.07	0.31	0.04	0.32	0.17	0.43	0.2	0.14249484749086191	0.083	0.071
4	['Ag', 'Ir', 'Pd', 'Pt', 'Ru']	13	[0.062 0.186 0.629 0.012 0.111]	[-0.031  0.14  -0.134 -0.01   0.036]	0.67	1.95	1.4	0.12	0.07	0.31	0.04	0.32	0.17	0.43	0.2	0.09499421870500802	0.256	0.071
