	Ag	Ir	Pd	Pt	Ru	Activity
405	0.0	0.05	0.6	0.0	0.35	0.09217213887416187
406	0.0	0.05	0.6	0.05	0.3	0.0891223295801426
407	0.0	0.05	0.6	0.1	0.25	0.0886067765125711
408	0.0	0.05	0.6	0.15	0.2	0.08762708496823578
409	0.0	0.05	0.6	0.2	0.15	0.08635703802749704
410	0.0	0.05	0.6	0.25	0.1	0.08249367813607202
411	0.0	0.05	0.6	0.3	0.05	0.07797464781896403
412	0.0	0.05	0.6	0.35	0.0	0.07533583463995876
413	0.0	0.05	0.65	0.0	0.3	0.10447126213011716
414	0.0	0.05	0.65	0.05	0.25	0.10357992170376763
415	0.0	0.05	0.65	0.1	0.2	0.10160168506765233
416	0.0	0.05	0.65	0.15	0.15	0.09890831528273425
417	0.0	0.05	0.65	0.2	0.1	0.09509602166979064
418	0.0	0.05	0.65	0.25	0.05	0.09077114185377508
419	0.0	0.05	0.65	0.3	0.0	0.08783137004541365
420	0.0	0.05	0.7	0.0	0.25	0.11788757394155402
421	0.0	0.05	0.7	0.05	0.2	0.11506218648412406
422	0.0	0.05	0.7	0.1	0.15	0.11148455184927852
423	0.0	0.05	0.7	0.15	0.1	0.10622925936173643
424	0.0	0.05	0.7	0.2	0.05	0.10364435860489608
425	0.0	0.05	0.7	0.25	0.0	0.09810115183733337
426	0.0	0.05	0.75	0.0	0.2	0.13129646089061073
427	0.0	0.05	0.75	0.05	0.15	0.12745628698983524
428	0.0	0.05	0.75	0.1	0.1	0.12198170117212104
429	0.0	0.05	0.75	0.15	0.05	0.11730455398325736
430	0.0	0.05	0.75	0.2	0.0	0.11186062884090445
431	0.0	0.05	0.8	0.0	0.15	0.14478592895407322
432	0.0	0.05	0.8	0.05	0.1	0.13941391053843402
433	0.0	0.05	0.8	0.1	0.05	0.13312095718643477
434	0.0	0.05	0.8	0.15	0.0	0.12624194444828118
435	0.0	0.05	0.85	0.0	0.1	0.15457040815956327
436	0.0	0.05	0.85	0.05	0.05	0.14848727870106637
437	0.0	0.05	0.85	0.1	0.0	0.14006355926085837
438	0.0	0.05	0.9	0.0	0.05	0.1657482876329442
439	0.0	0.05	0.9	0.05	0.0	0.1551999977065589
440	0.0	0.05	0.95	0.0	0.0	0.17278189256380824
441	0.0	0.1	0.0	0.0	0.9	3.0945125304370525e-10
442	0.0	0.1	0.0	0.05	0.85	0.007636038726289208
443	0.0	0.1	0.0	0.1	0.8	0.010960636323258907
444	0.0	0.1	0.0	0.15	0.75	0.01269370570115986
445	0.0	0.1	0.0	0.2	0.7	0.015942984209790324
